fit,q,state,design,simple_threshold,log_threshold,p_daily,p_annual,return_period_years,sigma_daily,headline_threshold
pre2018,0.99,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,1.6243789834029035e-06,0.0004092600665325241,2442.936044358868,0.02559112050638851,False
pre2018,0.99,on 2018-01-12,-1x,0.8,0.5877866649021191,6.69825271897152e-06,0.0016865415261216876,592.4312107565975,0.024156033994939017,False
pre2018,0.99,on 2018-01-12,-0.5x,1.6,0.9555114450274363,1.3299658741691466e-06,0.0003350954661393013,2983.7261581865832,0.024156033994939017,False
pre2018,0.99,"for 2018-02-05, data through 2018-02-02",-1x,0.8,0.5877866649021191,0.00039602462856980127,0.09499786203456151,10.020220163036008,0.08009075519753688,False
pre2018,0.99,"for 2018-02-05, data through 2018-02-02",-0.5x,1.6,0.9555114450274363,7.489139908857203e-05,0.018696353025964396,52.98677840910438,0.08009075519753688,False
full,0.9,unconditional,-1x,0.8,0.5877866649021191,0.00015463947295410452,0.038222515898331366,25.661326260674123,0.04175951061801517,True
full,0.9,unconditional,-0.5x,1.6,0.9555114450274363,2.66665258819467e-05,0.006697525052950293,148.81030944268917,0.04175951061801517,True
full,0.9,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,2.0307507422068653e-06,0.0005116187851136322,1954.0822444519076,0.026667562347929025,True
full,0.9,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,1.495085283483705e-07,3.767544221966457e-05,26541.990695056018,0.026667562347929025,True
full,0.925,unconditional,-1x,0.8,0.5877866649021191,0.00016304093630964986,0.040256929934915364,24.339003799128086,0.04175951061801517,False
full,0.925,unconditional,-0.5x,1.6,0.9555114450274363,2.903922500897679e-05,0.007291279658737659,136.6515107420145,0.04175951061801517,False
full,0.925,calm (lowest 20% of sigma),-1x,0.8,0.5877866649021191,3.4254371203901195e-06,0.0008628391727962814,1158.4664464084594,0.026667562347929025,False
full,0.925,calm (lowest 20% of sigma),-0.5x,1.6,0.9555114450274363,3.2845919134822953e-07,8.276830434150728e-05,12081.421597506342,0.026667562347929025,False
