dynamics,day,years,survival_-1x,se_-1x,survival_-0.5x,se_-0.5x
capped at in-sample max sigma,819,3.25,0.93385,0.0017574722970789614,0.99095,0.0006696304017889273
capped at in-sample max sigma,820,3.253968253968254,0.93375,0.0017587060229043402,0.99095,0.0006696304017889273
capped at in-sample max sigma,821,3.257936507936508,0.9335,0.0017617853160927413,0.99095,0.0006696304017889273
capped at in-sample max sigma,822,3.261904761904762,0.9335,0.0017617853160927413,0.99095,0.0006696304017889273
capped at in-sample max sigma,823,3.265873015873016,0.93335,0.0017636294607995182,0.9909,0.0006714607211147945
capped at in-sample max sigma,824,3.2698412698412698,0.9332,0.0017654710419601899,0.9909,0.0006714607211147945
capped at in-sample max sigma,825,3.2738095238095237,0.9331,0.0017666973425009725,0.9909,0.0006714607211147945
capped at in-sample max sigma,826,3.2777777777777777,0.93305,0.0017673100675885934,0.9909,0.0006714607211147945
capped at in-sample max sigma,827,3.2817460317460316,0.9329,0.0017691465456541472,0.9909,0.0006714607211147945
capped at in-sample max sigma,828,3.2857142857142856,0.9328,0.0017703694529673747,0.9909,0.0006714607211147945
capped at in-sample max sigma,829,3.2896825396825395,0.9328,0.0017703694529673747,0.9909,0.0006714607211147945
capped at in-sample max sigma,830,3.2936507936507935,0.93275,0.0017709804840821937,0.9909,0.0006714607211147945
capped at in-sample max sigma,831,3.2976190476190474,0.9327,0.0017715912338911596,0.9909,0.0006714607211147945
capped at in-sample max sigma,832,3.3015873015873014,0.9327,0.0017715912338911596,0.9909,0.0006714607211147945
capped at in-sample max sigma,833,3.3055555555555554,0.93265,0.0017722017026851095,0.99085,0.0006732858791033714
capped at in-sample max sigma,834,3.3095238095238093,0.9325,0.0017740314258772307,0.9908,0.0006751059176158948
capped at in-sample max sigma,835,3.3134920634920637,0.93235,0.0017758586303532158,0.9908,0.0006751059176158948
capped at in-sample max sigma,836,3.3174603174603177,0.93225,0.001777075371220928,0.9908,0.0006751059176158948
capped at in-sample max sigma,837,3.3214285714285716,0.93215,0.0017782909984026794,0.9908,0.0006751059176158948
capped at in-sample max sigma,838,3.3253968253968256,0.9321,0.0017788983950748842,0.9908,0.0006751059176158948
capped at in-sample max sigma,839,3.3293650793650795,0.93195,0.0017807189208294504,0.9908,0.0006751059176158948
capped at in-sample max sigma,840,3.3333333333333335,0.93175,0.0017831424157929735,0.99075,0.0006769208779466025
capped at in-sample max sigma,841,3.3373015873015874,0.9317,0.0017837475998582313,0.99075,0.0006769208779466025
capped at in-sample max sigma,842,3.3412698412698414,0.9316,0.0017849571423426392,0.99075,0.0006769208779466025
capped at in-sample max sigma,843,3.3452380952380953,0.9315,0.0017861655858290408,0.9907,0.000678730800833437
capped at in-sample max sigma,844,3.3492063492063493,0.9314,0.001787372932546535,0.99065,0.0006805357264684923
capped at in-sample max sigma,845,3.3531746031746033,0.93135,0.0017879761953113356,0.9906,0.0006823356945082077
capped at in-sample max sigma,846,3.357142857142857,0.9311,0.001790988414256217,0.99055,0.0006841307440833207
capped at in-sample max sigma,847,3.361111111111111,0.9311,0.001790988414256217,0.99055,0.0006841307440833207
