date,symbol,assets_lower,assets_central,assets_upper,is_anchor
2015-11-02,SVXY,529912698.863559,769088887.7764524,815204558.1877619,False
2015-11-03,SVXY,519642448.48412,754949631.0069973,799405059.6269547,False
2015-11-04,SVXY,502663350.9910295,731023399.4539125,773284836.9941213,False
2015-11-05,SVXY,512685168.84847695,746354341.8364576,788702153.1223054,False
2015-11-06,SVXY,523369536.621499,762680349.5744472,805138719.6144863,False
2015-11-09,SVXY,494795025.72755665,723229607.3667415,761180400.4825166,False
2015-11-10,SVXY,508543931.7223831,744076144.5744836,782331376.5982324,False
2015-11-11,SVXY,496782801.85480785,727600600.2225244,764238345.9951779,False
2015-11-12,SVXY,453382654.46661764,664704391.2473118,697472635.2417866,False
2015-11-13,SVXY,422074880.3086581,619426618.6127688,649309531.6682807,False
2015-11-16,SVXY,465143752.73906106,684691688.7395979,715565617.2396735,False
2015-11-17,SVXY,438971135.3659529,646813073.8745482,675302311.5517387,False
2015-11-18,SVXY,469781949.69453365,692904972.7890205,722700904.4444956,False
2015-11-19,SVXY,454128078.41311985,670486131.6480451,698619376.9603264,False
2015-11-20,SVXY,469202179.0244911,693433986.8951635,721808999.6195388,False
2015-11-23,SVXY,481708701.24343663,714048940.2140037,741048723.3359655,False
2015-11-24,SVXY,479223965.28680664,711072609.146219,737226267.1425552,False
2015-11-25,SVXY,485684285.0930709,721374817.4775738,747164662.9664555,False
2015-11-27,SVXY,481046119.73273015,715904952.1543121,740029424.366801,False
2015-11-30,SVXY,483862130.6471474,722236901.2820811,744361505.7422098,False
2015-12-01,SVXY,504402694.59628916,753640772.2266631,775960600.0741594,False
2015-12-02,SVXY,484524743.7529857,724655299.4060128,745380853.3165419,False
2015-12-03,SVXY,448910110.78760463,672052190.2017739,690592184.9305475,False
2015-12-04,SVXY,492061794.05867136,737379296.1369374,756975664.6461481,False
2015-12-07,SVXY,478230077.22318107,718767943.1207094,735697294.3862246,False
2015-12-08,SVXY,464149864.6754354,698290354.248872,714036644.4833429,False
2015-12-09,SVXY,444520377.9492554,669414436.9336154,683839128.7635162,False
2015-12-10,SVXY,438888324.52528906,661580346.3101966,675174917.407531,False
2015-12-11,SVXY,373870882.68853575,564124501.5218022,575153696.8164843,False
2015-12-14,SVXY,397724417.38147354,601876439.5909122,611849383.2045918,False
2015-12-15,SVXY,414620672.43876827,628057111.4431498,637842163.0880499,False
2015-12-16,SVXY,442118484.4284212,670362240.0773829,680144115.3194813,False
2015-12-17,SVXY,424062688.03104126,643610627.8996136,652367525.7861094,False
2015-12-18,SVXY,390767137.7458305,593653513.9426726,601146476.6999424,False
2015-12-21,SVXY,407746203.6437891,621252391.9033939,627266650.7276082,False
2015-12-22,SVXY,427789807.7635521,652422322.4896654,658101234.3788087,False
2015-12-23,SVXY,437397476.6322847,667720141.7548203,672881433.9704514,False
2015-12-24,SVXY,429363466.49722034,656088932.4580683,660522111.9600961,False
2015-12-28,SVXY,434001663.452693,665736941.0631739,667657399.1649182,False
2015-12-29,SVXY,442284137.7048808,679094213.5034304,680398952.2130642,False
2015-12-30,SVXY,428286735.997799,658233973.2750571,658865696.4543902,False
2015-12-31,SVXY,642811361.0,642811361.0,642811361.0,True
2016-01-04,SVXY,118474851.71566086,596865053.2148226,602165775.669107,False
2016-01-05,SVXY,122485855.53802247,615702064.583608,622552289.7092412,False
2016-01-06,SVXY,118800747.98766331,595849235.9443392,603822191.1748128,False
2016-01-07,SVXY,106141037.19579169,531166798.42559004,539477358.002709,False
2016-01-08,SVXY,99949055.84256826,499061999.0102154,508005706.4201347,False
2016-01-11,SVXY,102882103.16466106,510254872.8664639,522913348.7611527,False
2016-01-12,SVXY,107820638.05348772,533542058.92426175,548014175.2144864,False
2016-01-13,SVXY,96765324.96537489,477753347.82660776,491823928.21636915,False
2016-01-14,SVXY,100350155.26850796,494330054.9698458,510044352.96363133,False
2016-01-15,SVXY,90322660.05705088,443923805.94718444,459078140.7710473,False
2016-01-19,SVXY,90272521.43343785,439638468.6269533,458823303.8774643,False
2016-01-20,SVXY,88016340.7486388,427666094.5000501,447355935.2972334,False
2016-01-21,SVXY,88367301.55096544,428382974.23120236,449139744.947147,False
2016-01-22,SVXY,95737507.08871913,463041064.6462152,486599893.410836,False
2016-01-25,SVXY,90773898.10660362,435988218.3107624,461371624.20812696,False
2016-01-26,SVXY,95085724.10767886,455634409.4722089,483287111.00459176,False
2016-01-27,SVXY,91200071.62583217,435994929.0335209,463537713.500999,False
2016-01-28,SVXY,94308589.78612366,449800769.80504143,479337212.06180614,False
2016-01-29,SVXY,98068900.49042006,466638476.9952182,498449541.6340252,False
2016-02-01,SVXY,99171931.08397771,468559183.20593244,504055856.0825167,False
2016-02-02,SVXY,92403369.90365125,435546093.27801317,469653653.1314889,False
2016-02-03,SVXY,93606668.18147035,440170854.5818767,475769592.7619789,False
2016-02-04,SVXY,92578850.30481459,434302175.03094685,470545557.95644575,False
2016-02-05,SVXY,88918816.84774427,416137786.9065945,451942902.1713928,False
2016-02-08,SVXY,84632055.37699324,393235939.89846843,430154809.5191357,False
2016-02-09,SVXY,84005336.92627718,389384316.1249544,426969421.2570992,False
2016-02-10,SVXY,83353553.9452369,385430812.87515545,423656638.850855,False
2016-02-11,SVXY,78289667.71589532,361139465.22510713,397918695.8609799,False
2016-02-12,SVXY,81673953.08754088,375837157.6727322,415119821.6390776,False
2016-02-16,SVXY,85409189.69854844,389204189.6074596,434104708.46192133,False
2016-02-17,SVXY,88743336.44658095,403405058.3787838,451050997.34643596,False
2016-02-18,SVXY,88943881.37806848,403321818.6938496,452070296.3156005,False
2016-02-19,SVXY,91325413.40338245,413099525.5379905,464174781.43237275,False
2016-02-22,SVXY,96514641.41027431,433333729.33993006,490549792.3536216,False
2016-02-23,SVXY,91676374.20570911,410585331.59917635,465958591.08228636,False
2016-02-24,SVXY,92202815.40919909,411911752.2471906,468634305.5571568,False
2016-02-25,SVXY,95411620.3796813,425179727.21354556,484943526.51029766,False
2016-02-26,SVXY,94007767.60741004,417872275.232079,477808239.3054756,False
2016-02-29,SVXY,92453508.5272643,407861095.80625427,469908490.025072,False
2016-03-01,SVXY,100500571.13934709,442236792.8421694,510808863.64438045,False
2016-03-02,SVXY,102180171.99704312,448484690.310226,519345680.85615784,False
2016-03-03,SVXY,105439115.59113838,461609329.78222466,535909738.7028817,False
2016-03-04,SVXY,104160604.59641741,454846975.4587128,529411519.4294334,False
2016-03-07,SVXY,103809643.79409075,449830968.90000266,527627709.7795198,False
2016-03-08,SVXY,99748510.91108073,431117429.46545655,506986407.4509702,False
2016-03-09,SVXY,101127289.59006315,435945428.8931884,513994251.90641695,False
2016-03-10,SVXY,102882103.16466106,442359411.24949676,522913348.7611527,False
2016-03-11,SVXY,108171608.41877902,463892619.28160596,549798033.4695675,False
2016-03-14,SVXY,109876283.3697639,467516088.65123874,558462293.4307203,False
2016-03-15,SVXY,108322014.7266535,459691163.8701158,550562495.5451491,False
2016-03-16,SVXY,112257805.83211324,475138022.4563631,570566729.9423249,False
2016-03-17,SVXY,115541813.9565327,487745413.8943312,587258181.9332565,False
2016-03-18,SVXY,116444290.05563818,490252636.5262141,591845148.807416,False
2016-03-21,SVXY,119703224.08676879,499956608.3203736,608409158.0489722,False
2016-03-22,SVXY,121257483.16691454,505091875.0517818,616308907.3293759,False
2016-03-23,SVXY,115441536.70930661,479574594.0933424,586748508.1460905,False
2016-03-24,SVXY,116043190.62969847,480776041.504263,589806502.2639192,False
2016-03-28,SVXY,117672652.86378147,482262200.3486527,598088482.5821136,False
2016-03-29,SVXY,124491352.66772096,508815053.63617283,632745522.4267244,False
2016-03-30,SVXY,127549741.76736405,519888467.8118348,648290232.6991161,False
2016-03-31,SVXY,126672330.19858277,514895295.56060857,643830659.9691645,False
2016-04-01,SVXY,130357437.74894193,528416359.847626,662560758.5035927,False
2016-04-04,SVXY,126747542.91548465,509530165.12943625,644212939.6121229,False
2016-04-05,SVXY,119427466.43837938,478767330.5386216,607007579.4368494,False
2016-04-06,SVXY,127349187.27291189,509099913.3668893,647270885.124784,False
2016-04-07,SVXY,115516749.4262085,460505648.72176564,587130787.7890488,False
2016-04-08,SVXY,118625267.58649999,471570842.9044526,602930286.349856,False
2016-04-11,SVXY,116845389.48157787,460574432.6148245,593883795.3509126,False
2016-04-12,SVXY,120680903.33981152,474343184.3993486,613378355.9609224,False
2016-04-13,SVXY,126772607.44580886,496868981.6020997,644340333.7563306,False
2016-04-14,SVXY,127198780.9650374,497116553.4085523,646506423.0492026,False
2016-04-15,SVXY,128878381.82273343,502239199.18028367,655043240.2609799,False
2016-04-18,SVXY,136950518.52810505,529100813.74454075,696071056.6296637,False
2016-04-19,SVXY,135747220.25028595,522933559.0748514,689955116.9991738,False
2016-04-20,SVXY,135020224.55234382,518622736.66466534,686260054.9499712,False
2016-04-21,SVXY,132513350.74947955,507511441.82220125,673518501.9018252,False
2016-04-22,SVXY,135822423.4042232,518665604.2465542,690337348.0369645,False
2016-04-25,SVXY,133967332.5823992,507086154.3861066,680908577.3950627,False
2016-04-26,SVXY,136975583.05842927,516940709.6157708,696198450.7738714,False
2016-04-27,SVXY,140936448.25717783,530312445.1799764,716330127.9204226,False
2016-04-28,SVXY,132588553.90341678,497418132.1031565,673900732.939616,False
2016-04-29,SVXY,128176460.21808012,479432061.2648,651475620.9611527,False
2016-05-02,SVXY,136123245.58293682,504588517.3662429,691866320.7932951,False
2016-05-03,SVXY,129881135.169065,479997183.7349031,660139880.9223053,False
2016-05-04,SVXY,128226598.84169316,472448314.35711837,651730457.8547357,False
2016-05-05,SVXY,128452217.86646953,471842822.32654256,652877199.5732756,False
2016-05-06,SVXY,134268164.32407746,491704672.2553954,682437598.7565609,False
2016-05-09,SVXY,137276405.23714286,498114732.0833591,697727423.530202,False
2016-05-10,SVXY,144044966.41746932,521063625.19807196,732129626.4812298,False
2016-05-11,SVXY,138780535.25664023,500467934.9247858,705372384.5221902,False
2016-05-12,SVXY,140384932.960399,504683433.6582085,713526970.6961769,False
2016-05-13,SVXY,135195704.95350716,484515964.85418725,687151959.774928,False
2016-05-16,SVXY,141513028.08428085,502407451.30249375,719260679.288876,False
2016-05-17,SVXY,135321046.73105744,478910722.570456,687789027.7063018,False
2016-05-18,SVXY,135897626.55816045,479431219.0752849,690719579.0747553,False
2016-05-19,SVXY,135321046.73105744,475883500.75689304,687789027.7063018,False
2016-05-20,SVXY,140033972.15807235,490891118.2154826,711743161.0462632,False
2016-05-23,SVXY,140961512.78750202,489412521.14433867,716457522.0646303,False
2016-05-24,SVXY,146526775.6900094,507095932.2185982,744743785.3851681,False
2016-05-25,SVXY,149309407.14126307,515055913.0837675,758886917.045437,False
2016-05-26,SVXY,150838592.12811998,518643791.1849399,766659223.5764652,False
2016-05-27,SVXY,155100279.50558215,531562339.4845054,788319873.479347,False
2016-05-31,SVXY,155225621.28313243,525046912.2069032,788956941.4107208,False
2016-06-01,SVXY,156278513.25307706,526860266.708039,794308418.9656293,False
2016-06-02,SVXY,160615403.7844765,539684647.8439426,816351299.9063017,False
2016-06-03,SVXY,161392528.54306704,540490639.6586261,820301150.2439198,False
2016-06-06,SVXY,163423109.329019,541807066.4585913,830621874.315946,False
2016-06-07,SVXY,163322832.08179292,539647790.7121472,830112200.5287799,False
2016-06-08,SVXY,162244875.5815241,534271267.1318491,824633328.8296638,False
2016-06-09,SVXY,159161421.9515568,522337201.95744044,808961224.4130642,False
2016-06-10,SVXY,144771962.11541146,473494437.3544505,735824688.5304323,False
2016-06-13,SVXY,123012296.74151246,398198985.7511558,625228004.1841116,False
2016-06-14,SVXY,125644512.32192701,405314266.99452746,638606625.1636313,False
2016-06-15,SVXY,126872884.69303495,407857734.89684707,644850007.5434966,False
2016-06-16,SVXY,130282234.5950047,417360507.7334898,662178527.4658021,False
2016-06-17,SVXY,130482779.52649222,416543462.24994695,663197826.4349666,False
2016-06-20,SVXY,139231773.30619296,439801034.3145323,707665867.9592699,False
2016-06-21,SVXY,138329297.2070875,435403061.43881464,703078901.0851105,False
2016-06-22,SVXY,133766787.65091167,419545954.0564526,679889278.4258982,False
2016-06-23,SVXY,146551840.22033358,458005742.87435555,744871179.5293758,False
2016-06-24,SVXY,107795573.52316353,335678417.97906697,547886781.0702786,False
2016-06-27,SVXY,105012942.07190984,323489412.112695,533743649.41000974,False
2016-06-28,SVXY,113887277.62916087,349552685.9271261,578848758.8656869,False
2016-06-29,SVXY,119552808.21592967,365604584.665305,607644647.3682232,False
2016-06-30,SVXY,122987232.21118826,374731747.67051685,625100610.0399039,False
2016-07-01,SVXY,126872884.69303495,385151888.4157309,644850007.5434966,False
2016-07-05,SVXY,124416149.51378372,372127358.42824036,632363291.3889337,False
2016-07-06,SVXY,127825499.41575347,380894916.4171259,649691811.311239,False
2016-07-07,SVXY,129881135.169065,385567544.08021647,660139880.9223053,False
