,cm30,cm60,cm90,cm120,cm150,cm180,n_contracts
2013-08-29,17.564285714285717,18.12142857142857,18.5375,18.967142857142857,19.521428571428572,20.038888888888888,9
2013-08-30,17.755357142857143,18.335714285714285,18.735714285714284,19.135714285714286,19.67142857142857,20.116666666666667,9
2013-09-03,17.27857142857143,17.917142857142856,18.32857142857143,18.759999999999998,19.294642857142858,19.762962962962963,9
2013-09-04,17.185714285714287,17.832857142857144,18.21607142857143,18.650000000000002,19.210714285714285,19.677777777777777,9
2013-09-05,17.007142857142856,17.725714285714286,18.175,18.67,19.226785714285715,19.692592592592593,9
2013-09-06,17.142857142857142,17.9,18.333928571428572,18.765714285714285,19.314285714285717,19.807407407407407,9
2013-09-09,16.55,17.292857142857144,17.775,18.3,18.84107142857143,19.333333333333332,9
2013-09-10,16.092857142857145,16.89857142857143,17.319642857142856,17.88,18.542857142857144,19.066666666666666,9
2013-09-11,15.535714285714286,16.428571428571427,16.95,17.552857142857142,18.214285714285715,18.80185185185185,9
2013-09-12,15.657142857142858,16.46857142857143,17.037499999999998,17.642857142857142,18.285714285714285,18.87037037037037,9
2013-09-13,15.692857142857143,16.455714285714286,17.00357142857143,17.64857142857143,18.307142857142857,18.88888888888889,9
2013-09-16,15.55,16.32142857142857,16.851785714285715,17.517142857142858,18.132142857142856,18.73888888888889,9
2013-09-17,15.474285714285713,16.202857142857145,16.764285714285716,17.400000000000002,18.04285714285714,18.61296296296296,9
2013-09-18,14.768571428571429,15.797142857142857,16.382142857142856,17.02142857142857,17.664285714285715,18.23148148148148,8
2013-09-19,14.848571428571429,15.834285714285715,16.55,17.15,17.74107142857143,18.25,8
2013-09-20,15.131428571428572,16.117142857142856,16.824285714285715,17.552857142857142,18.25357142857143,18.81206896551724,8
2013-09-23,15.559999999999999,16.44642857142857,17.135714285714286,17.77857142857143,18.46851851851852,18.998275862068965,9
2013-09-24,15.324285714285715,16.314285714285713,16.964285714285715,17.65,18.38703703703704,18.910344827586208,9
2013-09-25,15.345714285714285,16.29285714285714,16.995714285714286,17.723214285714285,18.41111111111111,18.96206896551724,9
2013-09-26,15.128571428571428,16.057142857142857,16.73,17.49642857142857,18.181481481481484,18.73448275862069,9
2013-09-27,15.767142857142858,16.467857142857145,17.08285714285714,17.769642857142856,18.433333333333334,18.882758620689657,9
2013-09-30,16.48,17.044642857142858,17.57,18.17857142857143,18.78333333333333,19.213793103448275,9
2013-10-01,15.792857142857143,16.482142857142858,17.157142857142855,17.825,18.5,18.96551724137931,9
2013-10-02,16.60142857142857,17.037499999999998,17.52857142857143,18.17142857142857,18.76666666666667,19.18448275862069,9
2013-10-03,17.347142857142856,17.57857142857143,17.990000000000002,18.510714285714286,19.012962962962963,19.394827586206898,9
2013-10-04,16.902857142857144,17.1625,17.671428571428574,18.314285714285717,18.877777777777776,19.255172413793105,9
2013-10-07,18.41,18.321428571428573,18.582857142857144,19.035714285714285,19.416666666666668,19.736206896551725,9
2013-10-08,19.211428571428574,19.008928571428573,19.275714285714287,19.75,20.127777777777776,20.413793103448278,9
2013-10-09,18.751428571428573,18.79642857142857,19.164285714285715,19.64107142857143,20.00740740740741,20.306896551724137,9
2013-10-10,16.708571428571428,17.257142857142856,17.9,18.542857142857144,19.03333333333333,19.40344827586207,9
2013-10-11,16.2,16.79285714285714,17.42142857142857,18.03392857142857,18.53148148148148,18.91551724137931,9
2013-10-14,16.5,17.101785714285715,17.7,18.22142857142857,18.594444444444445,18.951724137931034,9
2013-10-15,17.454285714285714,17.599999999999998,18.132857142857144,18.5625,18.86296296296296,19.124137931034483,9
2013-10-16,,16.442857142857143,17.244285714285713,17.92142857142857,18.45,18.872413793103448,8
2013-10-17,,15.525,16.64,17.392857142857142,17.87037037037037,18.286206896551725,8
2013-10-18,,15.217857142857143,16.327142857142857,17.192857142857143,17.733333333333334,18.15,8
2013-10-21,14.6,15.565714285714286,16.55142857142857,17.276785714285715,17.77758620689655,18.18857142857143,9
2013-10-22,14.633928571428571,15.652857142857144,16.681428571428572,17.45,17.896551724137932,18.345714285714287,9
2013-10-23,14.760714285714284,15.69857142857143,16.812857142857144,17.614814814814817,18.055172413793102,18.457142857142856,9
2013-10-24,14.557142857142857,15.628571428571428,16.7,17.483333333333334,17.97758620689655,18.41857142857143,9
2013-10-25,14.642857142857142,15.722857142857142,16.826785714285716,17.605555555555558,18.132758620689657,18.53,9
2013-10-28,14.787500000000001,15.847142857142858,16.964285714285715,17.76111111111111,18.27413793103448,18.664285714285715,9
2013-10-29,14.75,15.885714285714286,17.001785714285717,17.816666666666666,18.305172413793102,18.725714285714286,9
2013-10-30,14.871428571428572,15.974285714285715,17.07142857142857,17.848148148148148,18.370689655172413,18.787142857142857,9
2013-10-31,14.857142857142858,15.962857142857143,17.0625,17.883333333333333,18.41551724137931,18.798571428571428,9
